key,section,equation,latex
E01,4.1  Inviscid panel flow,Pressure coefficient (inviscid),C_p = 1 - \left(\frac{V}{U_\infty}\right)^{2}
E02,4.1  Inviscid panel flow,Vortex-panel surface velocity (Kuethe & Chow),"\frac{V_{t_i}}{U_\infty} = \cos(\theta_i-\alpha) + \sum_{j=1}^{N} C_{t,ij}\,\gamma_j"
E03,4.1  Inviscid panel flow,Kutta condition (sharp trailing edge),\gamma_{1} + \gamma_{N+1} = 0
E05,4.2  Laminar boundary layer,Thwaites momentum thickness (laminar),"\theta^{2} = \frac{0.45\,\nu}{U_e^{6}} \int_{0}^{x} U_e^{5}\, dx'"
E06,4.2  Laminar boundary layer,Thwaites pressure-gradient and momentum-thickness Reynolds number,"\lambda = \frac{\theta^{2}}{\nu}\frac{dU_e}{dx}, \quad Re_\theta = \frac{U_e\,\theta}{\nu}"
E07,4.2  Laminar boundary layer,Von Karman momentum-integral equation,\frac{d\theta}{dx} + (2+H)\frac{\theta}{U_e}\frac{dU_e}{dx} = \frac{C_f}{2}
E08,4.3  Unified transition kernel (novel),Abu-Ghannam & Shaw bypass onset,"Re_{\theta t} = 163 + \exp\left[F(\lambda_\theta) - \frac{F(\lambda_\theta)\,Tu}{6.91}\right]"
E09,4.3  Unified transition kernel (novel),AGS pressure-gradient function,"F(\lambda_\theta) = \begin{cases} 6.91+12.75\lambda_\theta+63.64\lambda_\theta^{2}, & \lambda_\theta \le 0 \\ 6.91+2.48\lambda_\theta-12.27\lambda_\theta^{2}, & \lambda_\theta > 0 \end{cases}"
E10,4.3  Unified transition kernel (novel),Natural / Tollmien-Schlichting onset (low-Tu correlation surrogate),"N(x) = \int_{x_0}^{x} -\alpha_i(x')\,dx' \ge N_{crit}"
E11,4.3  Unified transition kernel (novel),"Cross-flow criterion (swept wing, C1 on Re_theta2)","Re_{\theta 2} = k_{cf}\,Re_\theta\,\sin\Lambda\,\cos\Lambda \ \ge\ C_1"
E12,4.3  Unified transition kernel (novel),Separation-induced onset (laminar bubble),"\lambda \le -0.09 \Rightarrow Re_{\theta t,sep} = \max\left(Re_{\theta t}^{floor},\, 0.7\,Re_{\theta t,bp}\right)"
E13,4.3  Unified transition kernel (novel),Unified minimum-onset transition kernel,"Re_{\theta t}^{*} = \min\left(a_{TS}Re_{\theta t}^{TS},\, a_{BP}Re_{\theta t}^{BP},\, a_{SEP}Re_{\theta t}^{SEP},\, a_{CF}Re_{\theta t}^{CF}\right)"
E14,4.3  Unified transition kernel (novel),Transition trigger,Re_\theta(x_t) \ge Re_{\theta t}^{*}
E15,4.4  Transitional & turbulent boundary layer,Narasimha universal intermittency,"\gamma(x) = 1 - \exp\left[-0.412\,\xi^{2}\right], \quad \xi = \frac{x-x_t}{\lambda_{tr}}"
E16,4.4  Transitional & turbulent boundary layer,Transition-length scale,"\lambda_{tr} \sim \frac{\nu}{U_e} C_{len}\, Re_{\theta t}^{0.8}"
E17,4.4  Transitional & turbulent boundary layer,Intermittency-weighted property blend,"\phi = (1-\gamma)\phi_{lam} + \gamma\,\phi_{turb}"
E18,4.4  Transitional & turbulent boundary layer,Head entrainment (turbulent),"\frac{d(\theta H_1)}{dx} = C_E - \frac{\theta H_1}{U_e}\frac{dU_e}{dx}, \quad C_E = 0.0306(H_1-3)^{-0.6169}"
E19,4.4  Transitional & turbulent boundary layer,Ludwieg-Tillmann skin-friction law,"C_f = 0.246 \times 10^{-0.678 H}\, Re_\theta^{-0.268}"
E20,"4.5  Drag, temperature & reference scales",Squire-Young profile drag,"C_d = 2\frac{\theta_{TE}}{c}\left(\frac{U_{e,TE}}{U_\infty}\right)^{(H_{TE}+5)/2}"
E21,"4.5  Drag, temperature & reference scales",Crocco-Busemann temperature profile,\frac{T}{T_e} = 1 + r\frac{\gamma-1}{2}M_e^{2}\left[1-\left(\frac{u}{U_e}\right)^{2}\right]
E22,"4.5  Drag, temperature & reference scales",Recovery (adiabatic-wall) temperature,"T_r = T_e\left(1 + r\frac{\gamma-1}{2}M_e^{2}\right), \quad r \approx Pr^{1/3}"
E23,"4.5  Drag, temperature & reference scales",Reynolds number (mean aerodynamic chord),Re_{MAC} = \frac{\rho_\infty U_\infty \overline{c}}{\mu_\infty} = \frac{U_\infty \overline{c}}{\nu_\infty}
E24,"4.5  Drag, temperature & reference scales",Mean aerodynamic chord,\overline{c} = \frac{2}{3} c_{root}\frac{1+\lambda+\lambda^{2}}{1+\lambda}
