alpha_deg,Cl,Cd,L_over_D,theta_te_c,xtr_upper_c,xtr_lower_c
-3.0,-0.1149,0.00633,-18.1,0.00475,0.661,0.094
-2.0,0.0214,0.00504,4.2,0.00309,0.638,0.353
-1.0,0.1571,0.00466,33.7,0.00245,0.614,0.459
0.0,0.2926,0.0046,63.6,0.00237,0.59,0.507
1.0,0.4282,0.00467,91.7,0.00269,0.554,0.554
2.0,0.5643,0.00484,116.6,0.00306,0.518,0.59
3.0,0.7013,0.00793,88.5,0.00636,0.12,0.613
4.0,0.8396,0.00923,91.0,0.00779,0.033,0.648
5.0,0.9796,0.01026,95.5,0.00896,0.018,0.682
6.0,1.1219,0.01145,98.0,0.01025,0.018,0.704
7.0,1.2674,0.01327,95.5,0.01222,0.015,0.736
8.0,1.417,0.0173,81.9,0.01632,0.01,0.757
